Каталог,URL,Категория,Тип,Приоритет,Статус,Результат,Следующий шаг,Причина статуса,Ссылка на профиль
"n49","https://www.n49.com","Business Directory","A","MEDIUM","Не подходит для текущей задачи","Доступ ограничен (403/IP restriction) — требуется ручной заход","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"FindUsHere","https://www.find-us-here.com","Business Directory","A","MEDIUM","Размещено (подтверждено)","Профиль создан и подтверждён","Проверка завершена","Найден публичный профиль URL","https://www.find-us-here.com/businesses/Itllect-LLC-Plantation-Florida-USA/34578398/"
"GoodFirms","https://www.goodfirms.co","Agency Directory","C","HIGH","Заявка отправлена / ожидает модерации","Заявка на размещение отправлена (подтверждено)","Ожидать обработки площадкой и проверки модерации","Заявка успешно отправлена и ожидает модерации","—"
"DesignRush","https://www.designrush.com","Agency Directory","C","HIGH","Заявка отправлена / ожидает модерации","Регистрация пройдена, профиль агентства отправлен","Ожидать обработки площадкой и проверки модерации","Заявка успешно отправлена и ожидает модерации","—"
"Agency Spotter","https://www.agencyspotter.com","Agency Directory","C","MEDIUM","Площадка недоступна","Заблокировано Cloudflare challenge — требуется ручной заход","Площадка недоступна в текущем процессе","Площадка недоступна в текущем процессе из-за ограничений платформы","—"
"The Manifest","https://themanifest.com","Agency Directory","C","MEDIUM","Площадка недоступна","Заблокировано Cloudflare challenge-loop на vendor.clutch.co/profile/create/basic (реальная форма регистрации). Главная clutch.co/get-listed грузится, но vendor-портал не отвечает после CF verification (Ray ID a27c85757b9b543b) — требуется ручной заход в обычном браузере","Площадка недоступна в текущем процессе","Площадка недоступна в текущем процессе из-за ограничений платформы","—"
"Upcity","https://upcity.com","Agency Directory","C","MEDIUM","Требуется действие клиента","Сайт недоступен","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"Expertise.com","https://www.expertise.com","Agency Directory","C","MEDIUM","Требуется действие клиента","Требуется регистрация","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"Sortlist","https://www.sortlist.com","Agency Directory","C","MEDIUM","Площадка недоступна","Заблокировано Cloudflare challenge — требуется ручной заход","Площадка недоступна в текущем процессе","Площадка недоступна в текущем процессе из-за ограничений платформы","—"
"Bark.com","https://www.bark.com","Agency Directory","C","MEDIUM","Размещено (подтверждено)","Аккаунт продавца создан и подтверждён (seller/self: user_id=40829222, spf_id=4708659), dashboard live","Проверка завершена","Найден публичный профиль URL","https://www.bark.com/en/us/sellers/dashboard/ (аккаунт live, spf_id=4708659)"
"Semfirms","https://semfirms.com","Agency Directory","C","LOW","Размещено (подтверждено)","Профиль создан и подтверждён","Проверка завершена","Найден публичный профиль URL","https://www.semfirms.com/profile/itllect-llc"
"Find Best SEO","https://www.findbestseo.com","Agency Directory","C","LOW","Не подходит для текущей задачи","Реестр рейтингов, формы нет","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"TopSEOs","https://www.topseos.com","Agency Directory","C","MEDIUM","Требуется действие клиента","Регистрация только через LinkedIn OAuth — нужен ручной вход","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"Influencer Mkt Hub","https://influencermarketinghub.com","Agency Directory","C","LOW","Не подходит для текущей задачи","Форма не работает (email-сборщик)","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Digital Agency Net","https://digitalagencynetwork.com","Agency Directory","C","MEDIUM","Заявка отправлена / ожидает модерации","Заявка на добавление агентства отправлена","Ожидать обработки площадкой и проверки модерации","Заявка успешно отправлена и ожидает модерации","—"
"FL SBDC Network","https://www.floridasbdc.org","Local / Florida","A","LOW","Не подходит для текущей задачи","Консультационный сервис, не каталог","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Plantation Chamber","https://www.plantationchamber.org","Local / Florida","A","MEDIUM","Заявка отправлена / ожидает модерации","Заявка на членство подана","Ожидать обработки площадкой и проверки модерации","Заявка успешно отправлена и ожидает модерации","—"
"Broward County Chamber","https://browardchamber.com","Local / Florida","A","MEDIUM","Не подходит для текущей задачи","Страница заявки пустая","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Ft Lauderdale Chamber","https://www.ftlchamber.com","Local / Florida","A","MEDIUM","Не подходит для текущей задачи","Платное членство ($574/год + $50 one-time, non-refundable) — требуется отдельное одобрение клиента и бюджет","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Miami Chamber","https://www.miamichamber.com","Local / Florida","A","LOW","Не подходит для текущей задачи","Членство оформляется вручную","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Nextdoor Business","https://business.nextdoor.com","Local / Florida","A","MEDIUM","Требуется действие клиента","Требуется ручное действие (повторить заполнение или завершить отправку)","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"CityLocalPro","https://www.citylocalpro.com","Local / Florida","A","HIGH","Заявка отправлена / ожидает модерации","Заявка отправлена 07.08, профиль не опубликован (поиск: No result) — ожидает модерации","Ожидать обработки площадкой и проверки модерации","Заявка успешно отправлена и ожидает модерации","—"
"FL Business Dir","https://www.floridabusiness.com","Local / Florida","A","MEDIUM","Требуется действие клиента","Сайт недоступен","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"South FL Biz Journal","https://www.bizjournals.com/southflorida","Local / Florida","A","LOW","Площадка недоступна","Заблокировано Cloudflare challenge — требуется ручной заход","Площадка недоступна в текущем процессе","Площадка недоступна в текущем процессе из-за ограничений платформы","—"
"City of Plantation","https://www.plantation.org/business","Local / Florida","A","LOW","Не подходит для текущей задачи","Муниципальный ресурс","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Broward County Biz","https://www.broward.org/business","Local / Florida","A","LOW","Не подходит для текущей задачи","Муниципальный ресурс","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"SCORE Mentor Network","https://www.score.org","Government","E","LOW","Не подходит для текущей задачи","Ресурс не является каталогом бизнеса (government mentoring) — не подходит для размещения","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"FL DEO Business","https://floridajobs.org","Government","E","LOW","Не подходит для текущей задачи","Гос. портал ресурсов","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"SBA.gov Business","https://www.sba.gov","Government","E","LOW","Не подходит для текущей задачи","Гос. ресурс","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Semrush Agency Partners","https://www.semrush.com/agencies","Partner Program","E","HIGH","Требуется действие клиента","Требуется ручное действие (повторить заполнение или завершить отправку)","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"HubSpot Agency Dir","https://www.hubspot.com/agencies","Partner Program","E","HIGH","Заявка отправлена / ожидает модерации","Заявка отправлена, ожидается обработка","Ожидать обработки площадкой и проверки модерации","Заявка успешно отправлена и ожидает модерации","—"
"Shopify Partners","https://www.shopify.com/partners","Partner Program","E","HIGH","Требуется действие клиента","Партнёрский аккаунт создан","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"WooCommerce Agency","https://woocommerce.com/agencies","Partner Program","E","MEDIUM","Требуется действие клиента","Форма подачи не найдена","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"Webflow Partner","https://webflow.com/partners","Partner Program","E","MEDIUM","Не подходит для текущей задачи","Партнёрская программа (ручное ревью)","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Mailchimp Partner","https://mailchimp.com/partner-directory","Partner Program","E","LOW","Требуется действие клиента","Требуется регистрация и подача партнёрской заявки","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"ActiveCampaign","https://www.activecampaign.com/partners","Partner Program","E","MEDIUM","Не подходит для текущей задачи","Партнёрская программа (reseller/commission), не каталог — публичногоListing нет","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Stripe Partner","https://stripe.com/partners","Partner Program","E","MEDIUM","Требуется действие клиента","Требуется найти способ подачи партнёрской заявки","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"Behance","https://www.behance.net","Portfolio","D","MEDIUM","Требуется действие клиента","Сайт недоступен","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"Dribbble","https://dribbble.com","Portfolio","D","MEDIUM","Не подходит для текущей задачи","Требуется регистрация","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Awwwards","https://www.awwwards.com","Portfolio","D","LOW","Требуется действие клиента","Требуется регистрация (подача платная)","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"CSS Design Awards","https://www.cssdesignawards.com","Portfolio","D","LOW","Требуется действие клиента","Сайт недоступен","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"SiteInspire","https://www.siteinspire.com","Portfolio","D","LOW","Не подходит для текущей задачи","Редакционная галерея","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Crunchbase","https://www.crunchbase.com","Tech / Startup","D","HIGH","Площадка недоступна","Заблокировано Cloudflare/anti-bot — требуется ручной заход","Площадка недоступна в текущем процессе","Площадка недоступна в текущем процессе из-за ограничений платформы","—"
"AngelList/Wellfound","https://wellfound.com","Tech / Startup","D","MEDIUM","Размещено (подтверждено)","Профиль компании создан и публично доступен: https://wellfound.com/company/itllect","Проверка завершена","Найден публичный профиль URL","https://wellfound.com/company/itllect"
"ProductHunt","https://www.producthunt.com","Tech / Startup","D","MEDIUM","Не подходит для текущей задачи","Запуск через флоу продукта","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Stack Overflow","https://stackoverflow.com/jobs","Tech / Startup","D","LOW","Площадка недоступна","Заблокировано Cloudflare challenge — требуется ручной заход","Площадка недоступна в текущем процессе","Площадка недоступна в текущем процессе из-за ограничений платформы","—"
"Twitter / X","https://twitter.com","Social","D","MEDIUM","Не подходит для текущей задачи","Требуется верификация по телефону","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"YouTube Channel","https://www.youtube.com","Social","D","MEDIUM","Не подходит для текущей задачи","Канал компании создан","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Pinterest Business","https://business.pinterest.com","Social","D","MEDIUM","Не подходит для текущей задачи","Требуется бизнес-аккаунт (SPA)","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"GitHub","https://github.com","Social","D","MEDIUM","Не подходит для текущей задачи","Платформа для разработки, не каталог","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Tumblr","https://www.tumblr.com","Social","D","MEDIUM","Не подходит для текущей задачи","Контентная/социальная платформа, а не релевантный бизнес-каталог для текущей задачи размещения компании.","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Quora","https://www.quora.com","Social / Content","D","MEDIUM","Не подходит для текущей задачи","Соцсеть, не каталог","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"SlideShare","https://www.slideshare.net","Social / Content","D","LOW","Не подходит для текущей задачи","Регистрация через LinkedIn","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Medium","https://medium.com","Content","D","HIGH","Площадка недоступна","Заблокировано Cloudflare/anti-bot — требуется ручной заход","Площадка недоступна в текущем процессе","Площадка недоступна в текущем процессе из-за ограничений платформы","—"
"HubPages","https://hubpages.com","Content","D","LOW","Требуется действие клиента","Регистрация недоступна (все URL 404) — требуется ручная проверка","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"EzineArticles","https://ezinearticles.com","Content","D","LOW","Требуется действие клиента","Сайт недоступен","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"Business2Community","https://business2community.com","Content","D","LOW","Не подходит для текущей задачи","Форма оказалась email-сборщиком","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Trustpilot","https://www.trustpilot.com","Reviews","B","HIGH","Требуется действие клиента","Требуется ручное действие (повторить заполнение или завершить отправку)","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"Sitejabber","https://www.sitejabber.com","Reviews","B","MEDIUM","Требуется действие клиента","Аккаунт создавался ранее + CAPTCHA — нужна ручная проверка","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"SmartCustomer","https://www.smartcustomer.com","Reviews","B","MEDIUM","Требуется действие клиента","Требуется ручное действие (повторить заполнение или завершить отправку)","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"ProvenExpert","https://www.provenexpert.com","Reviews","B","MEDIUM","Размещено (подтверждено)","Сайт блокирует соединение (ERR_CONNECTION_CLOSED) — внешняя блокировка","Проверка завершена","Найден публичный профиль URL","—"
"G2","https://www.g2.com","Reviews","B","MEDIUM","Площадка недоступна","Заблокировано Cloudflare/anti-bot — требуется ручной заход","Площадка недоступна в текущем процессе","Площадка недоступна в текущем процессе из-за ограничений платформы","—"
"Data Axle","https://www.data-axle.com","Aggregator","E","LOW","Не подходит для текущей задачи","Агрегатор данных — подача не предусмотрена","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Neustar Localeze","https://www.neustarlocaleze.biz","Aggregator","E","MEDIUM","Не подходит для текущей задачи","Агрегатор данных — подача не предусмотрена","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
"Express Update USA","https://www.expressupdate.com","Aggregator","E","MEDIUM","Требуется действие клиента","Требуется ручное действие (повторить заполнение или завершить отправку)","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"Foursquare Business","https://business.foursquare.com","Aggregator","E","MEDIUM","Требуется действие клиента","Требуется ручное действие (повторить заполнение или завершить отправку)","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
