"Каталог","Тип","Метод","Статус","Ссылка","Что требуется"
"Manta","Business directory","Stealth → Claim/add business; complete every field","NEEDS_MANUAL","https://www.manta.com/claim","Ручной поиск пути подачи (claim/add-business)"
"Merchant Circle","Business directory","Register merchant; add all services + description","NEEDS_MANUAL","https://www.merchantcircle.com/registration","Регистрация аккаунта на info@itllect.com + email verify"
"Miami Chamber","Business directory","Chamber membership application","NEEDS_MANUAL","https://www.miamichamber.com/membership","Уточнить путь подачи / partner application"
"n49","Business directory","Add business / claim; stealth + warmup","NEEDS_MANUAL","https://business.n49.ca/","Уточнить путь подачи / partner application"
"Opendi","Business directory","Add company form on homepage","FAILED","https://www.opendi.us/","EXTERNAL BLOCK — \"Sorry, you have been blocked\" (opendi.us); Cloudflare/access restriction, возможен IP reputation block, automation detected. Не переоткрывать."
"Plantation Chamber","Business directory","Join chamber (manual membership application)","NEEDS_MANUAL","https://plantationchamber.org/join-a-committee/","Регистрация аккаунта на info@itllect.com + email verify"
"Superpages","Business directory","Stealth → Add listing; select Digital Marketing primary category","NEEDS_MANUAL","https://www.superpages.com/add-listing","Headed stealth + ручной Cloudflare challenge + submit; Cloudflare (headed stealth)"
"Yellow Pages","Business directory","Stealth landing → Add business → manual captcha, fill, submit","FAILED","https://www.yellowpages.com/biz","EXTERNAL BLOCK — \"Sorry, you have been blocked\" (yellowpages.com); Cloudflare/access restriction, возможен IP reputation block, automation detected. Не переоткрывать."
"ProvenExpert","Reviews","SignUp business; verify email","NEEDS_MANUAL","https://www.provenexpert.com/en-us/","Регистрация аккаунта на info@itllect.com + email verify; company claim + domain/email verification"
"Sitejabber","Reviews","Register business account / claim store; verify domain","NEEDS_MANUAL","https://biz.smartcustomer.com/register","Правильный URL: biz.smartcustomer.com/register; запуск падал (browser closed) — повторить по одному"
"Trustpilot","Reviews","Claim company (search → claim → domain/email verify)","NEEDS_MANUAL","https://business.trustpilot.com/claim","Уточнить путь подачи / partner application; company claim + domain/email verification"
"Agency Spotter","Agency marketplace","Add agency / claim","NEEDS_MANUAL","https://www.agencyspotter.com/add-agency","Headed stealth + ручной Cloudflare challenge + submit; Cloudflare (headed stealth); agency profile: услуги + описание + портфолио"
"Bark.com","Agency marketplace","Become a Bark service provider (14f signup)","NEEDS_MANUAL","https://www.bark.com/en/us/business/","До-проверить форму (multi-step / SPA), затем submit; agency profile: услуги + описание + портфолио"
"DesignRush","Agency marketplace","Multi-step agency submission (register → услуги → портфолио → submit)","NEEDS_MANUAL","https://www.designrush.com/submit/agency","До-проверить форму (multi-step / SPA), затем submit; agency profile: услуги + описание + портфолио"
"Find Best SEO","Agency marketplace","Submit SEO agency","NEEDS_MANUAL","https://www.findbestseo.com/submit-agency","Уточнить путь подачи / partner application; agency profile: услуги + описание + портфолио"
"Influencer Mkt Hub","Agency marketplace","Submit agency (Get listed)","NEEDS_MANUAL","https://influencermarketinghub.com/submit-agency/","Уточнить путь подачи / partner application; agency profile: услуги + описание + портфолио"
"Semfirms","Agency marketplace","Add SEO company listing","NEEDS_MANUAL","https://www.semfirms.com/add-company","Регистрация аккаунта на info@itllect.com + email verify; agency profile: услуги + описание + портфолио"
"Sortlist","Agency marketplace","Become partner (marketplace for agencies; SPA)","NEEDS_MANUAL","https://www.sortlist.com/become-partner","Headed stealth + ручной Cloudflare challenge + submit; Cloudflare (headed stealth); agency profile: услуги + описание + портфолио"
"The Manifest","Agency marketplace","List your company (Clutch group; регистрация)","NEEDS_MANUAL","https://themanifest.com/listings/list-your-company","Ручной поиск пути подачи (claim/add-business); agency profile: услуги + описание + портфолио"
"AngelList/Wellfound","Content/Profile","Register → create company profile","NEEDS_MANUAL","https://wellfound.com/companies/new","Уточнить путь подачи / partner application; profile + контент (публикация/draft)"
"Awwwards","Content/Profile","Submit site (design contest; paid submission + backlink)","NEEDS_MANUAL","https://www.awwwards.com/sites/submit","Регистрация аккаунта на info@itllect.com + email verify; profile + контент (публикация/draft)"
"Business2Community","Content/Profile","Contributor pitch (editorial, manual)","NEEDS_MANUAL","https://www.business2community.com/contribute","До-проверить форму (multi-step / SPA), затем submit; profile + контент (публикация/draft)"
"Crunchbase","Content/Profile","Register → add organization ITllect → verify via email-domain","NEEDS_MANUAL","https://www.crunchbase.com/discover/principal.investors","Headed stealth + ручной Cloudflare challenge + submit; Cloudflare (headed stealth); profile + контент (публикация/draft)"
"Dribbble","Content/Profile","Register → designer profile → shots (portfolio)","NEEDS_MANUAL","https://dribbble.com/signup","Регистрация аккаунта на info@itllect.com + email verify; profile + контент (публикация/draft)"
"GitHub","Content/Profile","Register → create Organization ITllect → profile+repo","NEEDS_MANUAL","https://github.com/organizations/new","Уточнить путь подачи / partner application; profile + контент (публикация/draft)"
"HubPages","Content/Profile","Register → publish Hub about ITllect","NEEDS_MANUAL","https://hubpages.com/user/register","Регистрация аккаунта на info@itllect.com + email verify; profile + контент (публикация/draft)"
"Medium","Content/Profile","Register на info@itllect.com → email verify → draft pub about ITllect → publish","NEEDS_MANUAL","https://medium.com/m/signin","Регистрация аккаунта на info@itllect.com + email verify; profile + контент (публикация/draft)"
"Pinterest Business","Content/Profile","Create Pinterest business account → profile + pins linking site","NEEDS_MANUAL","https://business.pinterest.com/business/create/","Уточнить путь подачи / partner application; profile + контент (публикация/draft)"
"ProductHunt","Content/Profile","Register → launch ITllect product → launch flow","NEEDS_MANUAL","https://www.producthunt.com/posts/new","Уточнить путь подачи / partner application; profile + контент (публикация/draft)"
"Quora","Content/Profile","Register → create Space (company blog) → post about company","NEEDS_MANUAL","https://www.quora.com/","Уточнить путь подачи / partner application; profile + контент (публикация/draft)"
"SiteInspire","Content/Profile","Submit site (design gallery; editorial)","NEEDS_MANUAL","https://www.siteinspire.com/submit","Уточнить путь подачи / partner application; profile + контент (публикация/draft)"
"SlideShare","Content/Profile","Register (LinkedIn) → upload deck about ITllect","NEEDS_MANUAL","https://www.slideshare.net/signup","Уточнить путь подачи / partner application; profile + контент (публикация/draft)"
"Stack Overflow","Content/Profile","Register account → SO Developer Story / Collectives","NEEDS_MANUAL","https://stackoverflow.com/users/signup","Headed stealth + ручной Cloudflare challenge + submit; Cloudflare (headed stealth); profile + контент (публикация/draft)"
"Tumblr","Content/Profile","Register → create ITllect blog → first post","NEEDS_MANUAL","https://www.tumblr.com/register","Регистрация аккаунта на info@itllect.com + email verify; profile + контент (публикация/draft)"
"Twitter / X","Content/Profile","Register @ITllect handle → профиль компании → backlink в bio","NEEDS_MANUAL","https://twitter.com/i/flow/signup","Уточнить путь подачи / partner application; profile + контент (публикация/draft)"
"YouTube Channel","Content/Profile","Create ITllect brand channel → link в about","NEEDS_MANUAL","https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.youtube.com%2Fsignin%3Faction_handle_signin%3Dtrue%26app%3Ddesktop%26hl%3Den%26next%3D%252Fcreate_channel%26feature%3D__FEATURE__&dsh=S-182064106%3A1785426271553077&hl=en&passive=true&service=youtube&uilel=3&flowName=GlifWebSignIn&flowEntry=ServiceLogin&ifkv=Ac50bxsr6TXWNzqqOedYbMoQP6asr6viuHdwJ96Pxs8cOps8u774i6lGaGMmAYt-L1GbNlM1hh6v","Регистрация аккаунта на info@itllect.com + email verify; profile + контент (публикация/draft)"
"ActiveCampaign","Partner program","Become an ActiveCampaign Partner (application)","NEEDS_MANUAL","https://www.activecampaign.com/partners/become-a-partner","До-проверить форму (multi-step / SPA), затем submit; partner application + manual review"
"Mailchimp Partner","Partner program","Mailchimp Marketing Partner application","NEEDS_MANUAL","https://mailchimp.com/partners/apply/","Регистрация аккаунта на info@itllect.com + email verify; partner application + manual review"
"Shopify Partners","Partner program","Join Shopify Partner Program → agency profile","NEEDS_MANUAL","https://www.shopify.com/partners","Ручной поиск пути подачи (claim/add-business); partner application + manual review"
"Stripe Partner","Partner program","Stripe Partner application","NEEDS_MANUAL","https://stripe.partners/directory/apply","Ручной поиск пути подачи (claim/add-business); partner application + manual review"
"WooCommerce Agency","Partner program","WooExpert agency application (manual review)","NEEDS_MANUAL","https://woocommerce.com/woocommerce-agencies/wooexpert-application/","До-проверить форму (multi-step / SPA), затем submit; partner application + manual review"
"FL Business Dir","Business directory","Add Florida business listing","FAILED","https://www.floridabusiness.com/add-listing","Unreachable — перепроверить SPF/DNS/прокси"
"G2","Reviews","Claim listing / vendor profile; verify","FAILED","https://www.g2.com/claim-listing","EXTERNAL BLOCK — Cloudflare/access restriction; пользователь не может войти; possible IP reputation block, automation detected. Не переоткрывать."
"Upcity","Agency marketplace","Become a partner agency / claim (UpCity partner portal)","FAILED","https://upcity.com/partners","Unreachable — перепроверить SPF/DNS/прокси; agency profile: услуги + описание + портфолио"
"Behance","Content/Profile","Register (Adobe) → create studio → upload portfolio project","FAILED","https://www.behance.net/signup","Unreachable — перепроверить SPF/DNS/прокси; profile + контент (публикация/draft)"
"CSS Design Awards","Content/Profile","Submit site (design award; paid)","FAILED","https://www.cssdesignawards.com/sites/submit","Unreachable — перепроверить SPF/DNS/прокси; profile + контент (публикация/draft)"
"EzineArticles","Content/Profile","Register author → submit article (editorial review)","FAILED","https://ezinearticles.com/submit-article/","Unreachable — перепроверить SPF/DNS/прокси; profile + контент (публикация/draft)"
"Broward County Biz","Business directory","County business resources (manual)","NOT_APPLICABLE","https://www.broward.org/business/Pages/Default.aspx","Уточнить путь подачи / partner application"
"City of Plantation","Business directory","City business resources (municipal; manual)","NOT_APPLICABLE","https://www.plantation.org/business","Уточнить путь подачи / partner application"
"FL SBDC Network","Business directory","Request advising (рост ресурсов; listing нет)","NOT_APPLICABLE","https://floridasbdc.org/request-advising/","Уточнить путь подачи / partner application"
"Nextdoor Business","Business directory","Business page signup (claim local)","NOT_APPLICABLE","https://business.nextdoor.com/business-signup","Уточнить путь подачи / partner application"
"South FL Biz Journal","Business directory","Submit people/news (PR newsroom, manual)","NOT_APPLICABLE","https://www.bizjournals.com/southflorida/submit","Headed stealth + ручной Cloudflare challenge + submit; Cloudflare (headed stealth)"
"Spoke","Business directory","Probe — пивот в last-mile delivery SaaS","NOT_APPLICABLE","https://spoke.com/","Уточнить путь подачи / partner application"
"Expertise.com","Agency marketplace","Business application / nomination","NOT_APPLICABLE","https://www.expertise.com/business-application","Регистрация аккаунта на info@itllect.com + email verify; agency profile: услуги + описание + портфолио"
"Data Axle","Partner program","Partner / enterprise data (manual)","NOT_APPLICABLE","https://www.data-axle.com/partner/","Уточнить путь подачи / partner application; partner application + manual review"
"Express Update USA","Partner program","Claim business listing (free InfoGroup)","NOT_APPLICABLE","https://local-listings.data-axle.com/claim","Уточнить путь подачи / partner application; partner application + manual review"
"FL DEO Business","Partner program","FL DEO business resource portal (manual)","NOT_APPLICABLE","https://floridajobs.org/business-resources","Уточнить путь подачи / partner application; partner application + manual review"
"Foursquare Business","Partner program","Claim/add venue, verify","NOT_APPLICABLE","https://business.foursquare.com/claim","Уточнить путь подачи / partner application; partner application + manual review"
"HubSpot Agency Dir","Partner program","HubSpot Agency partner application","NOT_APPLICABLE","https://ecosystem.hubspot.com/marketplace/solutions","Уточнить путь подачи / partner application; partner application + manual review"
"Neustar Localeze","Partner program","Localeze business listing signup (citation source)","NOT_APPLICABLE","https://www.neustarlocaleze.biz/signup","Уточнить путь подачи / partner application; partner application + manual review"
"SBA.gov Business","Partner program","Local Assistance (resource)","NOT_APPLICABLE","https://legacy.sba.gov/local-assistance/find","Уточнить путь подачи / partner application; partner application + manual review"
"SCORE Mentor Network","Partner program","Find a mentor (mentor resource)","NOT_APPLICABLE","https://www.score.org/how-mentoring-works/","Fill form + submit; partner application + manual review"
"Semrush Agency Partners","Partner program","Become a Semrush Agency Partner (application + backlink back)","NOT_APPLICABLE","https://agencies.semrush.com/become-a-partner","Уточнить путь подачи / partner application; partner application + manual review"
"Webflow Partner","Partner program","Webflow partner application","NOT_APPLICABLE","https://webflow.com/partners/apply","Уточнить путь подачи / partner application; partner application + manual review"
